period,registration_type,brand,model,units
2021-01,RY1,ASTON MARTIN,V8 VANTAGE COUPE,1
2021-01,RY1,ASTON MARTIN,VANQUISH COUPE,1
2021-01,RY1,AUDI,A1 SB 35 TFSI S line,7
2021-01,RY1,AUDI,A4 AV 45 TFSI q S line BE,4
2021-01,RY1,AUDI,A5 CP 40 TFSI S line,13
2021-01,RY1,AUDI,A5 CP 45 TFSI q S line BE,6
2021-01,RY1,AUDI,A5 SB 40 TFSI,1
2021-01,RY1,AUDI,A5 SB 40 TFSI S line,15
2021-01,RY1,AUDI,A5 SB 45 TFSI q S line BE,9
2021-01,RY1,AUDI,A6 40 TFSI S line,2
2021-01,RY1,AUDI,A6 AV 40 TFSI S line,2
2021-01,RY1,AUDI,A7 SB 45 TFSI q,1
2021-01,RY1,AUDI,A7 SB 55 TFSI q S line,1
2021-01,RY1,AUDI,A7 SPORTBACK 40 TDI,1
2021-01,RY1,AUDI,Q2 35 TFSI,2
2021-01,RY1,AUDI,Q3 35 TFSI,2
2021-01,RY1,AUDI,Q3 35 TFSI S line,8
2021-01,RY1,AUDI,Q3 SB 35 TFSI S line,4
2021-01,RY1,AUDI,Q5 40 TDI q,2
2021-01,RY1,AUDI,Q7 3.0 TDI QUATTRO,1
2021-01,RY1,AUDI,Q7 45 TDI q,3
2021-01,RY1,AUDI,Q7 45 TDI q S line,5
2021-01,RY1,AUDI,Q7 45 TFSI q S line,1
2021-01,RY1,AUDI,Q8 50 TDI QUATTRO,1
2021-01,RY1,AUDI,Q8 55 TFSI q S line,3
2021-01,RY1,AUDI,R8 V10 COUPE,1
2021-01,RY1,AUDI,RS 6 AVANT TFSI QUATTRO,1
2021-01,RY1,AUDI,TT Coupe 45 TFSI q S line,24
2021-01,RY1,AUDI,TT RD 45 TFSI q S line,4
2021-01,RY1,AUDI,TTS Coupe q,1
2021-01,RY1,AUDI,e-tron 55 q,1
2021-01,RY1,AUDI,e-tron SB 55 q S line,1
2021-01,RY1,BENTLEY,BENTAYGA HYBRID,5
2021-01,RY1,BENTLEY,BENTAYGA V8,2
2021-01,RY1,BENTLEY,CONTINENTAL GT,2
2021-01,RY1,BENTLEY,CONTINENTAL GT W12,2
2021-01,RY1,BENTLEY,CONTINENTAL GTC,1
2021-01,RY1,BENZ,CL550,1
2021-01,RY1,BMW,218i Gran Coupe RHD,8
2021-01,RY1,BMW,220i Gran Coupe M Sport,5
2021-01,RY1,BMW,320d GT Luxury,24
2021-01,RY1,BMW,320d GT M Sport,4
2021-01,RY1,BMW,320d GT Sport,29
2021-01,RY1,BMW,320d Limousine RHD,12
2021-01,RY1,BMW,320d M Sport,121
2021-01,RY1,BMW,330e M Sport,94
2021-01,RY1,BMW,330e Sport,2
2021-01,RY1,BMW,330i Limousine RHD,2
2021-01,RY1,BMW,520d M Sport,88
2021-01,RY1,BMW,520d Sport,1
2021-01,RY1,BMW,528i Luxury,1
2021-01,RY1,BMW,530e Elite,31
