period,registration_type,brand,model,units
2021-05,RY1,AUDI,A1 SB 35 TFSI S line,2
2021-05,RY1,AUDI,A4 40 TFSI S line,1
2021-05,RY1,AUDI,A4 AV 45 TFSI q S line BE,1
2021-05,RY1,AUDI,A5 CP 40 TFSI S line,10
2021-05,RY1,AUDI,A5 CP 45 TFSI q S line BE,7
2021-05,RY1,AUDI,A5 SB 40 TFSI S line,16
2021-05,RY1,AUDI,A5 SB 45 TFSI q S line BE,7
2021-05,RY1,AUDI,A6 40 TFSI S line,3
2021-05,RY1,AUDI,A6 AV 45 TFSI q S line BE,1
2021-05,RY1,AUDI,A7 SB 45 TFSI q,1
2021-05,RY1,AUDI,Q2 35 TFSI,1
2021-05,RY1,AUDI,Q3 35 TFSI,3
2021-05,RY1,AUDI,Q3 35 TFSI S line,6
2021-05,RY1,AUDI,Q3 SB 35 TFSI S line,3
2021-05,RY1,AUDI,Q5 45 TFSI q S line,1
2021-05,RY1,AUDI,Q7 45 TDI q,3
2021-05,RY1,AUDI,Q7 55 TFSI q S line,1
2021-05,RY1,AUDI,Q8 55 TFSI q S line,5
2021-05,RY1,AUDI,RS 4 AV q,4
2021-05,RY1,AUDI,RS Q8 q,1
2021-05,RY1,AUDI,TT Coupe 45 TFSI q S line,11
2021-05,RY1,AUDI,TT RS Coupe q,3
2021-05,RY1,AUDI,e-tron 55 q,5
2021-05,RY1,AUDI,e-tron SB 55 q S line,5
2021-05,RY1,BAOJUN,E300,1
2021-05,RY1,BENTLEY,BENTAYGA HYBRID,1
2021-05,RY1,BENTLEY,CONTINENTAL GT CONVERTIBLE,1
2021-05,RY1,BENTLEY,CONTINENTAL GT W12,1
2021-05,RY1,BENTLEY,MULSANNE EXTENDED WHEELBASE,1
2021-05,RY1,BMW,118i M Sport,2
2021-05,RY1,BMW,218i Gran Coupe RHD,3
2021-05,RY1,BMW,220i Gran Coupe M Sport,42
2021-05,RY1,BMW,320d,3
2021-05,RY1,BMW,320d GT Luxury,9
2021-05,RY1,BMW,320d GT M Sport,7
2021-05,RY1,BMW,320d GT Sport,17
2021-05,RY1,BMW,320d Limousine RHD,7
2021-05,RY1,BMW,320d M Performance,1
2021-05,RY1,BMW,320d M Sport,123
2021-05,RY1,BMW,330Li Limousine RHD,5
2021-05,RY1,BMW,330e,1
2021-05,RY1,BMW,330e M Sport,101
2021-05,RY1,BMW,330i Limousine RHD,1
2021-05,RY1,BMW,430i Cabrio RHD,1
2021-05,RY1,BMW,430i Coupe RHD,4
2021-05,RY1,BMW,520d M Sport,92
2021-05,RY1,BMW,520d Sport,3
2021-05,RY1,BMW,530e Elite,20
2021-05,RY1,BMW,530e Highline,6
2021-05,RY1,BMW,530e M Sport,64
2021-05,RY1,BMW,630d Gran Turismo RHD,3
2021-05,RY1,BMW,630i Gran Turismo RHD,10
2021-05,RY1,BMW,725Ld,1
2021-05,RY1,BMW,730Ld M Sport,10
2021-05,RY1,BMW,730Ld Pure Excellence,1
2021-05,RY1,BMW,740Le xDrive M Sport,1
2021-05,RY1,BMW,740Le xDrive iPerformance RHD,1
2021-05,RY1,BMW,745Le xDrive M Sport,6
2021-05,RY1,BMW,M2 CS Coupe RHD,1
2021-05,RY1,BMW,M340i xDrive,3
2021-05,RY1,BMW,M4 Coupe RHD,1
2021-05,RY1,BMW,M4 GTS COUPE,1
2021-05,RY1,BMW,M5 Limousine RHD,1
2021-05,RY1,BMW,M760Li xDrive Limousine RHD,1
2021-05,RY1,BMW,X1 SDRIVE20D XLINE,67
2021-05,RY1,BMW,X1 sDrive18d xLine,27
2021-05,RY1,BMW,X1 sDrive18i,19
2021-05,RY1,BMW,X1 sDrive18i xLine,1
2021-05,RY1,BMW,X1 sDrive20d M Sport,57
2021-05,RY1,BMW,X2 sDrive20i RHD,2
2021-05,RY1,BMW,X3 xDrive20d M Sport,29
2021-05,RY1,BMW,X3 xDrive20d xLine,12
2021-05,RY1,BMW,X3 xDrive30e M Sport,21
2021-05,RY1,BMW,X3 xDrive30e xLine,6
2021-05,RY1,BMW,X4 xDrive20d RHD,29
2021-05,RY1,BMW,X5 sDrive25d Pure Experie,1
2021-05,RY1,BMW,X5 xDrive30d M Sport,10
2021-05,RY1,BMW,X5 xDrive30d RHD,3
2021-05,RY1,BMW,X5 xDrive30d xLine,6
2021-05,RY1,BMW,X5 xDrive40e M Sport,1
2021-05,RY1,BMW,X5 xDrive40e Pure Experience,1
2021-05,RY1,BMW,X5 xDrive45e M Sport,32
2021-05,RY1,BMW,X6 xDrive30d RHD,2
2021-05,RY1,BMW,X7 xDrive30d M Sport,4
2021-05,RY1,BMW,Z4 M40i Roadster RHD,3
2021-05,RY1,BMW,Z4 sDrive30i RHD,4
2021-05,RY1,BMW,ไม่ระบุ,1
2021-05,RY1,CHERY,ไม่ระบุ,3
2021-05,RY1,CHEVROLET,CAPTIVA,6
2021-05,RY1,CHEVROLET,COLORADO C-CAB,10
2021-05,RY1,CHEVROLET,COLORADO C-CAB TRAIL BOSS,1
2021-05,RY1,CHEVROLET,CRUZE,2
2021-05,RY1,CHEVROLET,TRAILBLAZER,4
2021-05,RY1,FERRARI,488 PISTA,1
2021-05,RY1,FERRARI,F8 TRIBUTO,3
2021-05,RY1,FERRARI,GTC 4 LUSSO,1
2021-05,RY1,FOMM,FOMM ONE,3
2021-05,RY1,FORD,EVEREST,516
2021-05,RY1,FORD,FORD EVEREST zFAE9GD,1
2021-05,RY1,FORD,FORD RANGER iJBT9AH,1
2021-05,RY1,FORD,Focus,1
2021-05,RY1,FORD,Ford Everest,1
2021-05,RY1,FORD,Ford Focus,2
2021-05,RY1,FORD,MUSTANG,7
2021-05,RY1,FORD,MUSTANG 2.3 ECOBOOST,1
2021-05,RY1,FORD,MUSTANG 2.3L ECOBOOST,3
