period,registration_type,brand,model,units
2021-10,RY1,AUDI,A1 SB 35 TFSI S line,1
2021-10,RY1,AUDI,A4 AV 45 TFSI q S line BE,1
2021-10,RY1,AUDI,A5 CP 40 TFSI S line,11
2021-10,RY1,AUDI,A5 CP 45 TFSI q S line BE,5
2021-10,RY1,AUDI,A5 SB 40 TFSI S line,12
2021-10,RY1,AUDI,A5 SB 45 TFSI q S line BE,6
2021-10,RY1,AUDI,A6 AV 40 TFSI S line,1
2021-10,RY1,AUDI,A7 SB 45 TFSI q,1
2021-10,RY1,AUDI,A7 SB 55 TFSI q S line,1
2021-10,RY1,AUDI,A7 SPORTBACK 40 TDI,1
2021-10,RY1,AUDI,Q3 35 TFSI,2
2021-10,RY1,AUDI,Q3 35 TFSI S line,2
2021-10,RY1,AUDI,Q3 40 TFSI q S line BE,2
2021-10,RY1,AUDI,Q3 SB 35 TFSI S line,2
2021-10,RY1,AUDI,Q3 SB 40 TFSI q S line BE,2
2021-10,RY1,AUDI,Q5 45 TFSI q S line BE,2
2021-10,RY1,AUDI,Q7 45 TDI q,1
2021-10,RY1,AUDI,Q7 45 TDI q S line,4
2021-10,RY1,AUDI,Q7 45 TFSI q S line,1
2021-10,RY1,AUDI,R8 V10 COUPE,1
2021-10,RY1,AUDI,RS 4 AV q,3
2021-10,RY1,AUDI,RS 5 Coupe quattro,2
2021-10,RY1,AUDI,RS 7 SPORTBACK,1
2021-10,RY1,AUDI,RS Q3 Sportback quattro,4
2021-10,RY1,AUDI,RS Q8 q,2
2021-10,RY1,AUDI,TT Coupe 45 TFSI q S line,16
2021-10,RY1,AUDI,TT RD 45 TFSI q S line,1
2021-10,RY1,AUDI,e-tron 55 q,2
2021-10,RY1,AUDI,e-tron SB 55 q S line,4
2021-10,RY1,BENTLEY,BENTAYGA V8 DIESEL,1
2021-10,RY1,BENTLEY,CONTINENTAL GT V8,2
2021-10,RY1,BLAVAL,FH-V7,1
2021-10,RY1,BMW,118i M Sport,1
2021-10,RY1,BMW,218i Gran Coupe RHD,1
2021-10,RY1,BMW,220i Gran Coupe M Sport,70
2021-10,RY1,BMW,220i Gran Coupe Sport,11
2021-10,RY1,BMW,320d GT Luxury,1
2021-10,RY1,BMW,320d GT M Sport,1
2021-10,RY1,BMW,320d GT Sport,1
2021-10,RY1,BMW,320d Limousine RHD,1
2021-10,RY1,BMW,320d M Sport,91
2021-10,RY1,BMW,330Li Limousine RHD,10
2021-10,RY1,BMW,330e Luxury,1
2021-10,RY1,BMW,330e M Sport,70
2021-10,RY1,BMW,330i Limousine RHD,3
2021-10,RY1,BMW,430i Cabrio RHD,1
2021-10,RY1,BMW,430i Coupe RHD,9
2021-10,RY1,BMW,520d M Sport,48
2021-10,RY1,BMW,520d Sport,2
2021-10,RY1,BMW,530e Elite,35
2021-10,RY1,BMW,530e Highline,1
2021-10,RY1,BMW,530e M Sport,41
2021-10,RY1,BMW,630d Gran Turismo RHD,2
2021-10,RY1,BMW,630i Gran Turismo RHD,9
2021-10,RY1,BMW,730Ld M Sport,4
2021-10,RY1,BMW,745Le xDrive M Sport,8
2021-10,RY1,BMW,840D XDRIVE,1
2021-10,RY1,BMW,I8 HYBRID,1
2021-10,RY1,BMW,M2 CS Coupe RHD,1
2021-10,RY1,BMW,M340i xDrive,6
2021-10,RY1,BMW,M4 Coupe RHD,1
2021-10,RY1,BMW,M850i xDrive Coupe RHD,1
2021-10,RY1,BMW,X1 SDRIVE20D XLINE,55
2021-10,RY1,BMW,X1 sDrive18d xLine,7
2021-10,RY1,BMW,X1 sDrive18i,4
2021-10,RY1,BMW,X1 sDrive20d M Sport,45
2021-10,RY1,BMW,X3 xDrive20d M Sport,27
2021-10,RY1,BMW,X3 xDrive20d xLine,2
2021-10,RY1,BMW,X3 xDrive30e M Sport,10
2021-10,RY1,BMW,X3 xDrive30e xLine,7
2021-10,RY1,BMW,X4 xDrive20d M Sport,1
2021-10,RY1,BMW,X4 xDrive20d RHD,13
2021-10,RY1,BMW,X5 xDrive30d M Sport,18
2021-10,RY1,BMW,X5 xDrive30d xLine,3
2021-10,RY1,BMW,X5 xDrive40e M Sport,1
