period,registration_type,brand,model,units
2026-06,RY1,AION,AION UT 420 STANDARD,568
2026-06,RY1,AION,AION UT 500 PREMIUM,224
2026-06,RY1,AION,AION V 500 PREMIUM,335
2026-06,RY1,AION,AION V 505 PREMIUM,95
2026-06,RY1,AION,AION V 602 LUXURY,458
2026-06,RY1,AION,AION Y PLUS,2
2026-06,RY1,AION,AION Y PLUS 410 PREMIUM,18
2026-06,RY1,AION,AION Y PLUS 490 PREMIUM,33
2026-06,RY1,AION,HYPTEC HT 620 LUXURY,2
2026-06,RY1,AION,HYPTEC HT 620 PREMIUM,291
2026-06,RY1,ASTON MARTIN,DB11 V8 COUPE,1
2026-06,RY1,ASTON MARTIN,DBX,1
2026-06,RY1,ASTON MARTIN,V8 VANTAGE S COUPE,1
2026-06,RY1,ASTON MARTIN,VANQUISH COUPE,1
2026-06,RY1,ASTON MARTIN,VANTAGE COUPE,2
2026-06,RY1,AUDI,A4 AV 45 TFSI q S line IB,1
2026-06,RY1,AUDI,A5 Avant e-hybrid q Tech Plus,1
2026-06,RY1,AUDI,A5 CP 40 TFSI S line,1
2026-06,RY1,AUDI,A5 CP 40 TFSI S line eo,3
2026-06,RY1,AUDI,A5 CP 45 TFSI q S line eo,1
2026-06,RY1,AUDI,A5 SB 40 TFSI S line eo,1
2026-06,RY1,AUDI,A5 SB e-hybrid q Tech Plus,3
2026-06,RY1,AUDI,A5 SB e-hybrid q Tech Pro,2
2026-06,RY1,AUDI,A8L 60 TFSIe q Pstg Sline,1
2026-06,RY1,AUDI,Q5 SB 55 TFSIe q S lineBE,1
2026-06,RY1,AUDI,Q6 e-tron Performance,1
2026-06,RY1,AUDI,Q7 TFSI e q S line edition one,1
2026-06,RY1,AUDI,Q8 60 TFSI e q S line BE,1
2026-06,RY1,AUDI,Q8 SB e-tron 50 q S line,1
2026-06,RY1,AUDI,Q8 SB etron 55 q Sline BE,3
2026-06,RY1,AUDI,Q8 etron 55 q BE,2
2026-06,RY1,AUDI,RS 4 AV q,1
2026-06,RY1,AUDI,RS Q3 SB edition 10 years,1
2026-06,RY1,AUDI,TT Coupe Final Icon Black,4
2026-06,RY1,AUDI,e-tron GT quattro PF,2
2026-06,RY1,AVATR,AVATR 07 MAX,81
2026-06,RY1,AVATR,AVATR 07 ULTRA AWD,58
2026-06,RY1,AVATR,AVATR 11 LONG RANGE,82
2026-06,RY1,AVATR,AVATR 11 ROYAL EDITION,16
2026-06,RY1,AVATR,AVATR 11 STANDARD RANGE,5
2026-06,RY1,BENTLEY,FLYING SPUR HYBRID,1
2026-06,RY1,BMW,220 Gran Coupe M Sport Pr,50
2026-06,RY1,BMW,220i Gran Coupe M Sport,8
2026-06,RY1,BMW,320Li Limousine LWB RHD,8
2026-06,RY1,BMW,320d Limousine RHD,1
2026-06,RY1,BMW,320d M Sport,94
2026-06,RY1,BMW,320d Sport,1
2026-06,RY1,BMW,330Li,3
2026-06,RY1,BMW,330e M Sport,74
2026-06,RY1,BMW,420i Coupe RHD,3
2026-06,RY1,BMW,430i Cabrio RHD,2
2026-06,RY1,BMW,430i Convertible RHD,2
2026-06,RY1,BMW,430i Coupe RHD,7
2026-06,RY1,BMW,520d M Sport,40
2026-06,RY1,BMW,520d M Sport Pro,16
2026-06,RY1,BMW,530e Inspiring,12
2026-06,RY1,BMW,530e M Sport,46
2026-06,RY1,BMW,530e M Sport Pro,21
2026-06,RY1,BMW,630i Gran Turismo RHD,1
2026-06,RY1,BMW,740d M Sport,4
2026-06,RY1,BMW,750e xDrive M Sport,6
2026-06,RY1,BMW,M2 CS,2
2026-06,RY1,BMW,M2 RHD,3
2026-06,RY1,BMW,M240i xDrive Coupe RHD MX,1
2026-06,RY1,BMW,M340i xDrive,7
2026-06,RY1,BMW,M4 Competition M xDrive C,2
2026-06,RY1,BMW,M440i xDrive Coupe RHD,5
2026-06,RY1,BMW,X1 sDrive20d xLine,1
2026-06,RY1,BMW,X1 sDrive20i M Sport,164
2026-06,RY1,BMW,X1 sDrive20i xLine,12
2026-06,RY1,BMW,X1 xDrive30e M Sport,1
2026-06,RY1,BMW,X3 20d xDrive M Sport Pro,85
2026-06,RY1,BMW,X3 20d xDrive RHD,2
2026-06,RY1,BMW,X3 M50 xDrive,10
2026-06,RY1,BMW,X3 xDrive20d M Sport,2
2026-06,RY1,BMW,X3 xDrive30e M Sport,8
2026-06,RY1,BMW,X4 xDrive20d RHD,15
2026-06,RY1,BMW,X5 xDrive30d M Sport,22
2026-06,RY1,BMW,X5 xDrive50e RHD,23
2026-06,RY1,BMW,X6 xDrive40i M Sport,10
2026-06,RY1,BMW,X7 xDrive40d M Sport,9
2026-06,RY1,BMW,XM 50e RHD,3
2026-06,RY1,BMW,Z4 M40i Roadster RHD,1
2026-06,RY1,BMW,Z4 sDrive30i RHD,4
2026-06,RY1,BMW,i4 M50 Gran Coupe RHD,1
2026-06,RY1,BMW,i4 eDrive35 Gran Coupe RH,6
2026-06,RY1,BMW,i5 M60 xDrive RHD,2
2026-06,RY1,BMW,i5 eDrive40 M Sport,31
2026-06,RY1,BMW,i5 eDrive40 RHD,14
2026-06,RY1,BMW,i7 eDrive50 RHD,5
2026-06,RY1,BMW,i7 xDrive60 Limousine RHD,7
2026-06,RY1,BMW,iX xDrive40 RHD,6
2026-06,RY1,BMW,iX xDrive50 RHD,3
2026-06,RY1,BMW,iX1 eDrive20L,133
2026-06,RY1,BMW,iX2 xDrive30 RHD,2
2026-06,RY1,BMW,iX3 M Sport RHD,15
2026-06,RY1,BYD,BYD ATTO 1 DYNAMIC,18
2026-06,RY1,BYD,BYD ATTO 1 PREMIUM,280
2026-06,RY1,BYD,BYD ATTO 2 DYNAMIC,33
2026-06,RY1,BYD,BYD ATTO 2 PREMIUM,379
2026-06,RY1,BYD,BYD ATTO3 (410KM-PREMIUM),814
2026-06,RY1,BYD,BYD ATTO3 (480KM-EXT),332
2026-06,RY1,BYD,BYD DOLPHIN (435KM-STD),538
2026-06,RY1,BYD,BYD DOLPHIN (490KM-EXT),319
2026-06,RY1,BYD,BYD M6 DYNAMIC,50
2026-06,RY1,BYD,BYD M6 EXTENDED,248
2026-06,RY1,BYD,BYD SEAL 5 DM-i DYNAMIC,48
2026-06,RY1,BYD,BYD SEAL 5 DM-i PREMIUM,156
2026-06,RY1,BYD,BYD SEAL 5 DM-i STANDARD,56
2026-06,RY1,BYD,BYD SEAL 6 DYNAMIC,8
2026-06,RY1,BYD,BYD SEAL 6 PREMIUM,72
2026-06,RY1,BYD,BYD SEAL STD RWD,4
2026-06,RY1,BYD,BYD SEALION 6,3
2026-06,RY1,BYD,BYD SEALION 6 DM-i DYNAMIC,40
2026-06,RY1,BYD,BYD SEALION 6 DM-i PREMIUM,769
2026-06,RY1,BYD,BYD SEALION 7 AWD,305
2026-06,RY1,BYD,BYD SEALION 7 RWD,162
2026-06,RY1,BYD,BYD SEALION5 DM-i DYNAMIC,16
2026-06,RY1,BYD,BYD SEALION5 DM-i PREMIUM,174
2026-06,RY1,CHANGAN,LUMIN,1
2026-06,RY1,CHANGAN,LUMIN L DC,896
2026-06,RY1,CHERY,TIGGO8 PHEV 2WD ESTEEM,14
2026-06,RY1,CHERY,TIGGO8 PHEV 4WD ELITE,21
2026-06,RY1,CHERY,V23 2WD PLAY,22
2026-06,RY1,CHERY,V23 2WD PLUS,469
2026-06,RY1,CHERY,V23 4WD PEAK,357
2026-06,RY1,CHEVROLET,CAPTIVA,1
2026-06,RY1,DEEPAL,E07 PERFORMANCE AWD,7
2026-06,RY1,DEEPAL,HUNTER K50,7
2026-06,RY1,DEEPAL,L07,1
2026-06,RY1,DEEPAL,S05 MAX,627
2026-06,RY1,DEEPAL,S05 MAX LONG RANGE,321
2026-06,RY1,DEEPAL,S05 PLUS,3
2026-06,RY1,DEEPAL,S05 REEV MAX,164
2026-06,RY1,DEEPAL,S07,181
2026-06,RY1,DEEPAL,S07 L,20
2026-06,RY1,DENZA,DENZA D9 AWD,50
2026-06,RY1,DENZA,DENZA D9 FWD,184
2026-06,RY1,FARIZON,FARIZON SUPERVAN SV6,11
2026-06,RY1,FERRARI,296 GTB,2
2026-06,RY1,FERRARI,F8 SPIDER,1
2026-06,RY1,FERRARI,PORTOFINO M,1
2026-06,RY1,FORD,EVEREST,547
2026-06,RY1,FORD,FORD RANGER,1
2026-06,RY1,FORD,MUSTANG,2
2026-06,RY1,FORD,MUSTANG 5.0 GT PREMIUM,1
2026-06,RY1,FORD,MUSTANG ECOBOOST 2.3,1
2026-06,RY1,FORD,RANGER,539
2026-06,RY1,FORD,RANGER RAPTOR,131
2026-06,RY1,FORD,RANGER SUPER DUTY,33
2026-06,RY1,GAC,M8 PHEV PREMIUM,22
2026-06,RY1,GEELY,EX2,1668
2026-06,RY1,GEELY,EX5,329
2026-06,RY1,GMC,YUKON DENALI,1
