period,registration_type,brand,model,units
2021-07,RY1,AUDI,A4 AV 45 TFSI q S line BE,2
2021-07,RY1,AUDI,A5 CP 40 TFSI S line,7
2021-07,RY1,AUDI,A5 CP 45 TFSI q S line BE,5
2021-07,RY1,AUDI,A5 SB 40 TFSI S line,10
2021-07,RY1,AUDI,A5 SB 45 TFSI q S line,1
2021-07,RY1,AUDI,A5 SB 45 TFSI q S line BE,1
2021-07,RY1,AUDI,A7 SB 45 TFSI q,2
2021-07,RY1,AUDI,A7 SB 55 TFSI q S line,2
2021-07,RY1,AUDI,Q2 35 TFSI,1
2021-07,RY1,AUDI,Q3 35 TFSI S line,4
2021-07,RY1,AUDI,Q3 40 TFSI q S line BE,4
2021-07,RY1,AUDI,Q3 SB 35 TFSI S line,5
2021-07,RY1,AUDI,Q3 SB 40 TFSI q S line BE,4
2021-07,RY1,AUDI,Q5 45 TFSI q S line BE,1
2021-07,RY1,AUDI,Q7 45 TFSI q,1
2021-07,RY1,AUDI,Q8 55 TFSI q S line,1
2021-07,RY1,AUDI,RS 4 AV q,2
2021-07,RY1,AUDI,RS6 AVANT,1
2021-07,RY1,AUDI,TT Coupe 45 TFSI q S line,6
2021-07,RY1,AUDI,TT RD 45 TFSI q S line,2
2021-07,RY1,AUDI,e-tron 55 q,2
2021-07,RY1,AUDI,e-tron SB 55 q S line,1
2021-07,RY1,BMW,218i Gran Coupe RHD,2
2021-07,RY1,BMW,220i Gran Coupe M Sport,51
2021-07,RY1,BMW,320d GT Luxury,2
2021-07,RY1,BMW,320d GT M Sport,2
2021-07,RY1,BMW,320d GT Sport,5
2021-07,RY1,BMW,320d Luxury,1
2021-07,RY1,BMW,320d M Sport,69
2021-07,RY1,BMW,330Li Limousine RHD,9
2021-07,RY1,BMW,330e M Sport,47
2021-07,RY1,BMW,330e Sport,1
2021-07,RY1,BMW,330i Limousine RHD,1
2021-07,RY1,BMW,430i Coupe RHD,4
2021-07,RY1,BMW,520d M Sport,58
2021-07,RY1,BMW,530e Elite,16
2021-07,RY1,BMW,530e Highline,1
2021-07,RY1,BMW,530e M Sport,26
2021-07,RY1,BMW,630i Gran Turismo RHD,2
2021-07,RY1,BMW,730Ld M Sport,5
2021-07,RY1,BMW,730Ld Pure Excellence,1
2021-07,RY1,BMW,740Le xDrive M Sport,1
2021-07,RY1,BMW,745Le xDrive M Sport,2
2021-07,RY1,BMW,M2 CS Coupe RHD,1
2021-07,RY1,BMW,M2 Coupe RHD,1
2021-07,RY1,BMW,M340i xDrive,4
2021-07,RY1,BMW,X1 SDRIVE20D XLINE,38
2021-07,RY1,BMW,X1 sDrive18d xLine,7
2021-07,RY1,BMW,X1 sDrive18i,3
2021-07,RY1,BMW,X1 sDrive18i xLine,1
2021-07,RY1,BMW,X1 sDrive20d M Sport,34
2021-07,RY1,BMW,X2 sDrive20i RHD,2
2021-07,RY1,BMW,X3 xDrive20d M Sport,20
2021-07,RY1,BMW,X3 xDrive20d xLine,6
2021-07,RY1,BMW,X3 xDrive30e M Sport,5
2021-07,RY1,BMW,X3 xDrive30e xLine,2
2021-07,RY1,BMW,X4 xDrive20d M Sport,1
2021-07,RY1,BMW,X4 xDrive20d RHD,15
2021-07,RY1,BMW,X5 xDrive30d M Sport,4
2021-07,RY1,BMW,X5 xDrive30d RHD,2
2021-07,RY1,BMW,X5 xDrive45e M Sport,14
2021-07,RY1,BMW,X7 xDrive30d M Sport,2
2021-07,RY1,BMW,Z4 M40i Roadster RHD,2
2021-07,RY1,BMW,Z4 sDrive30i RHD,4
2021-07,RY1,BMW,i8 Roadster RHD,1
2021-07,RY1,CHEVROLET,CAPTIVA,4
2021-07,RY1,CHEVROLET,COLORADO C-CAB,4
2021-07,RY1,CHEVROLET,CORVETTE STINGRAY COUPE,1
2021-07,RY1,CHEVROLET,CORVETTE ZR1 COUPE,1
2021-07,RY1,CHEVROLET,TRAILBLAZER,1
2021-07,RY1,DAYUN,ไม่ระบุ,1
2021-07,RY1,FERRARI,812 GTS,1
2021-07,RY1,FOMM,FOMM ONE,7
2021-07,RY1,FORD,EVEREST,259
2021-07,RY1,FORD,FORD RANGER iFBT9AR,1
2021-07,RY1,FORD,Ford Focus,1
2021-07,RY1,FORD,MUSTANG,1
2021-07,RY1,FORD,MUSTANG 2.3 ECOBOOST,1
2021-07,RY1,FORD,MUSTANG 2.3L ECOBOOST,1
2021-07,RY1,FORD,MUSTANG GT FASTBACK 5.0L,1
2021-07,RY1,FORD,RANGER,875
2021-07,RY1,FORD,RANGER RAPTOR,76
2021-07,RY1,FORD,Territory,1
2021-07,RY1,FORD,ไม่ระบุ,4
2021-07,RY1,FOTON,BJ6549B1PDA-RA,1
2021-07,RY1,FOTON,TUNLAND DC 4X2 S,1
2021-07,RY1,FOTON,TUNLAND DC 4X2 S PREMIUM,5
2021-07,RY1,FOTON,TUNLAND DC 4X4,1
2021-07,RY1,HONDA,ACCORD,80
2021-07,RY1,HONDA,ACCORD HYBRID,74
2021-07,RY1,HONDA,BR-V,78
2021-07,RY1,HONDA,BRIO,1
2021-07,RY1,HONDA,BRIO AMAZE,1
2021-07,RY1,HONDA,CITY,1465
2021-07,RY1,HONDA,CITY HATCHBACK,1239
2021-07,RY1,HONDA,CIVIC,669
2021-07,RY1,HONDA,CIVIC TYPE R LIMITED EDITION,1
2021-07,RY1,HONDA,CR-V,236
2021-07,RY1,HONDA,HR-V,239
2021-07,RY1,HONDA,JAZZ,556
2021-07,RY1,HONDA,MOBILIO,7
2021-07,RY1,HONDA,N BOX G EX TURBO,1
2021-07,RY1,HONDA,ODYSSEY ABSOLUTE EX,1
2021-07,RY1,HONDA,S660 CVT TURBO,1
2021-07,RY1,HONDA,STEP WGN e-HEV SPADA G EX,1
2021-07,RY1,HONDA,STEPWAGON SPADA HYBRID EHEV G,1
2021-07,RY1,HYUNDAI,GRAND STAREX,6
2021-07,RY1,HYUNDAI,IONIQ EV,1
2021-07,RY1,HYUNDAI,KONA EV,9
2021-07,RY1,ISUZU,D-MAX,4341
2021-07,RY1,ISUZU,mu-X,992
2021-07,RY1,ISUZU,ไม่ระบุ,1
2021-07,RY1,JAGUAR,I-PACE AWD,1
2021-07,RY1,JAGUAR,I-PACE AWD S,3
2021-07,RY1,JEEP,WRANGLER RUBICON,1
