period,registration_type,brand,model,units
2021-04,RY1,ALFA ROMEO,GIULIETTA 1.4,1
2021-04,RY1,ASTON MARTIN,DB11 V8 COUPE,1
2021-04,RY1,ASTON MARTIN,DB9 COUPE,1
2021-04,RY1,AUDI,A1 SB 35 TFSI S line,3
2021-04,RY1,AUDI,A4 AV 45 TFSI q S line BE,4
2021-04,RY1,AUDI,A5 CP 40 TFSI S line,9
2021-04,RY1,AUDI,A5 CP 45 TFSI q S line BE,6
2021-04,RY1,AUDI,A5 SB 40 TFSI S line,12
2021-04,RY1,AUDI,A6 40 TFSI S line,1
2021-04,RY1,AUDI,A6 AV 45 TFSI q S line BE,4
2021-04,RY1,AUDI,A7 SB 45 TFSI q,4
2021-04,RY1,AUDI,A8 L 55 TFSI q Premium,1
2021-04,RY1,AUDI,A8 L 55 TFSI q Prestige,1
2021-04,RY1,AUDI,Q3 35 TFSI,2
2021-04,RY1,AUDI,Q3 SB 35 TFSI S line,10
2021-04,RY1,AUDI,Q5 40 TDI q,2
2021-04,RY1,AUDI,Q7 45 TDI q,1
2021-04,RY1,AUDI,Q7 45 TDI q S line,1
2021-04,RY1,AUDI,Q7 45 TFSI q S line,1
2021-04,RY1,AUDI,Q8 55 TFSI q S line,4
2021-04,RY1,AUDI,R8 COUPE V10 PERFORMANCE,1
2021-04,RY1,AUDI,R8 V10 COUPE,1
2021-04,RY1,AUDI,RS 4 AV q,1
2021-04,RY1,AUDI,RS Q8 q,2
2021-04,RY1,AUDI,TT Coupe 45 TFSI q S line,5
2021-04,RY1,AUDI,TT RD 45 TFSI q S line,1
2021-04,RY1,AUDI,TT RS Coupe q,1
2021-04,RY1,AUDI,TTS Coupe q,2
2021-04,RY1,AUDI,e-tron SB 55 q S line,1
2021-04,RY1,BENTLEY,CONTINENTAL GT,1
2021-04,RY1,BENTLEY,FLYING SPUR,2
2021-04,RY1,BMW,218i Gran Coupe RHD,2
2021-04,RY1,BMW,220i Gran Coupe M Sport,27
2021-04,RY1,BMW,320d,1
2021-04,RY1,BMW,320d GT Luxury,7
2021-04,RY1,BMW,320d GT M Sport,7
2021-04,RY1,BMW,320d GT Sport,20
2021-04,RY1,BMW,320d Limousine RHD,3
