period,registration_type,brand,model,units
2021-09,RY1,AUDI,A1 SB 35 TFSI S line,1
2021-09,RY1,AUDI,A4 AV 45 TFSI q S line BE,3
2021-09,RY1,AUDI,A5 CP 40 TFSI S line,9
2021-09,RY1,AUDI,A5 CP 45 TFSI q S line BE,6
2021-09,RY1,AUDI,A5 SB 40 TFSI S line,12
2021-09,RY1,AUDI,A5 SB 45 TFSI q S line BE,7
2021-09,RY1,AUDI,A6 40 TFSI S line,1
2021-09,RY1,AUDI,A6 AV 45 TFSI q S line BE,1
2021-09,RY1,AUDI,A7 SB 45 TFSI q,2
2021-09,RY1,AUDI,Q3 35 TFSI,1
2021-09,RY1,AUDI,Q3 35 TFSI S line,1
2021-09,RY1,AUDI,Q3 40 TFSI q S line BE,1
2021-09,RY1,AUDI,Q3 SB 35 TFSI S line,1
2021-09,RY1,AUDI,Q3 SB 40 TFSI q S line BE,4
2021-09,RY1,AUDI,Q5 45 TFSI q S line BE,1
2021-09,RY1,AUDI,Q7 45 TDI q,1
2021-09,RY1,AUDI,Q8 55 TFSI q S line,1
2021-09,RY1,AUDI,RS 4 AV q,2
2021-09,RY1,AUDI,RS 5 Coupe quattro,2
2021-09,RY1,AUDI,RS Q3 Sportback quattro,2
2021-09,RY1,AUDI,TT Coupe 45 TFSI q S line,13
2021-09,RY1,AUDI,TT RD 45 TFSI q S line,1
2021-09,RY1,AUDI,TT RS Coupe q,2
2021-09,RY1,AUDI,e-tron 55 q,1
2021-09,RY1,BENTLEY,BENTAYGA V8,1
2021-09,RY1,BENTLEY,CONTINENTAL GT V8,1
2021-09,RY1,BENTLEY,CONTINENTAL GT V8 CONVERTIBLE,1
2021-09,RY1,BLAVAL,FH-V7,3
2021-09,RY1,BMW,220i Gran Coupe M Sport,93
2021-09,RY1,BMW,220i Gran Coupe Sport,3
2021-09,RY1,BMW,320d,1
2021-09,RY1,BMW,320d GT Luxury,5
2021-09,RY1,BMW,320d GT M Sport,4
2021-09,RY1,BMW,320d GT Sport,8
2021-09,RY1,BMW,320d Limousine RHD,5
2021-09,RY1,BMW,320d M Sport,132
2021-09,RY1,BMW,320d Sport,1
2021-09,RY1,BMW,330Li Limousine RHD,17
2021-09,RY1,BMW,330e M Sport,96
2021-09,RY1,BMW,330i Limousine RHD,1
2021-09,RY1,BMW,430i Coupe RHD,26
2021-09,RY1,BMW,520d,1
2021-09,RY1,BMW,520d M Sport,63
2021-09,RY1,BMW,520d Sport,3
2021-09,RY1,BMW,530e Elite,23
2021-09,RY1,BMW,530e M Sport,57
2021-09,RY1,BMW,630i Gran Turismo RHD,6
2021-09,RY1,BMW,730Ld Limousine RHD,1
2021-09,RY1,BMW,730Ld M Sport,8
2021-09,RY1,BMW,730Ld Pure Excellence,2
2021-09,RY1,BMW,745Le xDrive M Sport,8
2021-09,RY1,BMW,840D XDRIVE COUPE,1
2021-09,RY1,BMW,M2 Comptetition RHD,1
2021-09,RY1,BMW,M340i xDrive,6
2021-09,RY1,BMW,M4 COMPETITION COUPE,1
2021-09,RY1,BMW,M850i xDrive Cabrio RHD,1
2021-09,RY1,BMW,M850i xDrive Coupe RHD,1
2021-09,RY1,BMW,X1 SDRIVE20D XLINE,58
2021-09,RY1,BMW,X1 sDrive18d xLine,8
2021-09,RY1,BMW,X1 sDrive18i,3
2021-09,RY1,BMW,X1 sDrive20d M Sport,70
2021-09,RY1,BMW,X2 sDrive20i RHD,1
2021-09,RY1,BMW,X3 xDrive20d M Sport,31
2021-09,RY1,BMW,X3 xDrive20d xLine,3
2021-09,RY1,BMW,X3 xDrive30e M Sport,11
2021-09,RY1,BMW,X3 xDrive30e xLine,11
2021-09,RY1,BMW,X4 xDrive20d RHD,28
2021-09,RY1,BMW,X5 xDrive30d M Sport,25
2021-09,RY1,BMW,X5 xDrive30d xLine,5
2021-09,RY1,BMW,X5 xDrive40e M Sport,1
2021-09,RY1,BMW,X5 xDrive40e Pure Experience,1
2021-09,RY1,BMW,X5 xDrive45e M Sport,11
2021-09,RY1,BMW,X6 xDrive30d RHD,1
2021-09,RY1,BMW,X7 M50d RHD,1
2021-09,RY1,BMW,X7 xDrive30d M Sport,9
2021-09,RY1,BMW,Z4 M40i Roadster RHD,3
2021-09,RY1,BMW,Z4 sDrive30i RHD,6
2021-09,RY1,BMW,i8 Roadster RHD,1
2021-09,RY1,CHEVROLET,CAPTIVA,7
2021-09,RY1,CHEVROLET,COLORADO,1
2021-09,RY1,CHEVROLET,COLORADO C-CAB,6
2021-09,RY1,CHEVROLET,COLORADO C-CAB CENTENNIAL,1
2021-09,RY1,CHEVROLET,COLORADO C-CAB TRAIL BOSS,1
