period,registration_type,brand,model,units
2026-02,RY1,AION,AION UT 420 STANDARD,239
2026-02,RY1,AION,AION UT 500 PREMIUM,54
2026-02,RY1,AION,AION V 505 PREMIUM,1
2026-02,RY1,AION,AION V 602 LUXURY,47
2026-02,RY1,AION,AION Y PLUS,7
2026-02,RY1,AION,AION Y PLUS 490 PREMIUM,1
2026-02,RY1,AION,HYPTEC HT 620 LUXURY,3
2026-02,RY1,AION,HYPTEC HT 620 PREMIUM,11
2026-02,RY1,ASTON MARTIN,DB12 COUPE,1
2026-02,RY1,ASTON MARTIN,VANTAGE COUPE,1
2026-02,RY1,ASTON MARTIN,VANTAGE S COUPE,1
2026-02,RY1,AUDI,A5 Avant e-hybrid q Tech Pro,4
2026-02,RY1,AUDI,A5 CP 40 TFSI S line,1
2026-02,RY1,AUDI,A5 CP 40 TFSI S line eo,6
2026-02,RY1,AUDI,A5 CP 45 TFSI q S line BE,2
2026-02,RY1,AUDI,A5 CP 45 TFSI q S line eo,2
2026-02,RY1,AUDI,A5 SB 40 TFSI S line,1
2026-02,RY1,AUDI,A5 SB 40 TFSI S line eo,8
2026-02,RY1,AUDI,A5 SB e-hybrid q Tech Plus,3
2026-02,RY1,AUDI,A7 SB 55 TFSIe q Sline BE,1
2026-02,RY1,AUDI,Q3 35 TFSI S line,1
2026-02,RY1,AUDI,Q3 SB 40 TFSI q S line BE,1
2026-02,RY1,AUDI,Q5 55 TFSI e q S line BE,2
2026-02,RY1,AUDI,Q5 SB 55 TFSIe q S lineBE,6
2026-02,RY1,AUDI,Q6 e-tron Performance,2
2026-02,RY1,AUDI,Q7 60 TFSI e q S line BE,1
2026-02,RY1,AUDI,Q7 TFSI e q S line edition one,2
2026-02,RY1,AUDI,Q8 60 TFSI e q S line BE,6
2026-02,RY1,AUDI,Q8 TFSI e q S line edition one,2
2026-02,RY1,AUDI,RS 3 Sportback quattro,2
2026-02,RY1,AUDI,RS 4 Avant q competition,2
2026-02,RY1,AUDI,RS Q3 SB edition 10 years,2
2026-02,RY1,AUDI,RS Q8 q,1
2026-02,RY1,AUDI,RS Q8 quattro performance,1
2026-02,RY1,AUDI,S3 Sportback quattro,1
2026-02,RY1,AUDI,TT Coupe Final Icon Black,9
2026-02,RY1,AUDI,TT RS Coupe q,1
2026-02,RY1,AUDI,TT RS Heritage Edition,1
2026-02,RY1,AVATR,AVATR 11 LONG RANGE,38
2026-02,RY1,AVATR,AVATR 11 STANDARD RANGE,4
2026-02,RY1,AXION,T5,2
2026-02,RY1,BENTLEY,BENTAYGA AZURE HYBRID,1
2026-02,RY1,BENTLEY,BENTAYGA HYBRID,1
2026-02,RY1,BENTLEY,CONTINENTAL GT PHEV,1
2026-02,RY1,BENTLEY,FLYING SPUR,1
2026-02,RY1,BMW,220 Gran Coupe M Sport Pr,47
2026-02,RY1,BMW,220i Gran Coupe M Sport,14
2026-02,RY1,BMW,320Li Limousine LWB RHD,17
2026-02,RY1,BMW,320d GT Sport,1
2026-02,RY1,BMW,320d M Sport,118
2026-02,RY1,BMW,320d Sport,1
2026-02,RY1,BMW,330Li,1
2026-02,RY1,BMW,330e M Sport,47
2026-02,RY1,BMW,420i Coupe RHD,2
2026-02,RY1,BMW,430i Convertible RHD,1
2026-02,RY1,BMW,430i Coupe RHD,6
2026-02,RY1,BMW,520d M Sport,27
2026-02,RY1,BMW,520d M Sport Pro,30
2026-02,RY1,BMW,530e Inspiring,9
2026-02,RY1,BMW,530e Luxury,1
2026-02,RY1,BMW,530e M Sport,19
2026-02,RY1,BMW,530e M Sport Pro,33
2026-02,RY1,BMW,740LI LIMOUSINE RHD,1
2026-02,RY1,BMW,740d M Sport,6
2026-02,RY1,BMW,750e xDrive M Sport,7
2026-02,RY1,BMW,M2 RHD,1
2026-02,RY1,BMW,M240i xDrive Coupe RHD MX,4
2026-02,RY1,BMW,M3 CS Limousine RHD,1
2026-02,RY1,BMW,M340i xDrive,11
2026-02,RY1,BMW,M440i xDrive Coupe RHD,1
2026-02,RY1,BMW,X1 sDrive18i,1
2026-02,RY1,BMW,X1 sDrive20d M Sport,1
2026-02,RY1,BMW,X1 sDrive20i M Sport,144
2026-02,RY1,BMW,X1 sDrive20i xLine,18
2026-02,RY1,BMW,X1 xDrive30e M Sport,1
2026-02,RY1,BMW,X3 20d xDrive M Sport Pro,91
2026-02,RY1,BMW,X3 20d xDrive RHD,1
2026-02,RY1,BMW,X3 M50 xDrive,9
2026-02,RY1,BMW,X3 xDrive20d M Sport,2
2026-02,RY1,BMW,X3 xDrive30e M Sport,6
2026-02,RY1,BMW,X4 xDrive20d RHD,13
2026-02,RY1,BMW,X5 xDrive30d M Sport,21
2026-02,RY1,BMW,X5 xDrive45e M Sport,1
2026-02,RY1,BMW,X5 xDrive50e RHD,17
2026-02,RY1,BMW,X6 xDrive40i M Sport,11
2026-02,RY1,BMW,X7 xDrive30d M Sport,1
2026-02,RY1,BMW,X7 xDrive40d M Sport,11
2026-02,RY1,BMW,XM 50e RHD,6
2026-02,RY1,BMW,XM RHD,1
2026-02,RY1,BMW,Z4 M40i RHD,1
2026-02,RY1,BMW,Z4 M40i Roadster RHD,1
2026-02,RY1,BMW,Z4 sDrive30i RHD,1
2026-02,RY1,BMW,i4 M50 Gran Coupe RHD,2
2026-02,RY1,BMW,i4 eDrive35 Gran Coupe RH,3
2026-02,RY1,BMW,i5 M60 xDrive RHD,6
2026-02,RY1,BMW,i5 eDrive40 RHD,15
2026-02,RY1,BMW,i5 eDrive40 Touring RHD,1
2026-02,RY1,BMW,i7 eDrive50 RHD,4
2026-02,RY1,BMW,i7 xDrive60 Limousine RHD,10
2026-02,RY1,BMW,iX xDrive40 RHD,3
2026-02,RY1,BMW,iX xDrive50 RHD,9
2026-02,RY1,BMW,iX1 eDrive20L,50
2026-02,RY1,BMW,iX3 M Sport RHD,11
2026-02,RY1,BYD,BYD ATTO3 (410KM-PREMIUM),1
2026-02,RY1,BYD,BYD ATTO3 (480KM-EXT),21
2026-02,RY1,BYD,BYD DOLPHIN (435KM-STD),13
2026-02,RY1,BYD,BYD DOLPHIN (490KM-EXT),2
2026-02,RY1,BYD,BYD M6 EXTENDED,3
2026-02,RY1,BYD,BYD SEAL 5 DM-i PREMIUM,61
2026-02,RY1,BYD,BYD SEAL STD RWD,20
2026-02,RY1,BYD,BYD SEALION 6,4
2026-02,RY1,BYD,BYD SEALION 6 DM-i DYNAMIC,32
2026-02,RY1,BYD,BYD SEALION 6 DM-i PREMIUM,112
2026-02,RY1,BYD,BYD SEALION 7 AWD,12
2026-02,RY1,BYD,BYD SEALION 7 RWD,13
2026-02,RY1,CHANGAN,LUMIN,1
2026-02,RY1,CHANGAN,LUMIN L DC,34
2026-02,RY1,CHERY,V23 2WD PLAY,52
2026-02,RY1,CHERY,V23 2WD PLUS,96
2026-02,RY1,CHERY,V23 4WD PEAK,93
2026-02,RY1,CHEVROLET,COLORADO,1
2026-02,RY1,CITROEN,DS3 1.6 VTI,1
2026-02,RY1,DEEPAL,E07 PLUS,3
2026-02,RY1,DEEPAL,L07 S,7
2026-02,RY1,DEEPAL,S05 MAX,100
2026-02,RY1,DEEPAL,S05 PLUS,2
2026-02,RY1,DEEPAL,S05 REEV MAX,45
2026-02,RY1,DEEPAL,S07,42
2026-02,RY1,DEEPAL,S07 L,13
2026-02,RY1,DENZA,DENZA D9 AWD,12
2026-02,RY1,DFSK,GLORY 580 I-AUTO,1
2026-02,RY1,FERRARI,12Cilindri,1
2026-02,RY1,FERRARI,12Cilindri Spider,1
2026-02,RY1,FERRARI,296 GTB,1
2026-02,RY1,FORD,EVEREST,664
2026-02,RY1,FORD,FORD RANGER,1
2026-02,RY1,FORD,MUSTANG,3
2026-02,RY1,FORD,MUSTANG 2.3 ECOBOOST PREMIUM,1
2026-02,RY1,FORD,MUSTANG 5.0 GT PREMIUM,1
2026-02,RY1,FORD,RANGER,832
2026-02,RY1,FORD,RANGER RAPTOR,131
2026-02,RY1,GAC,M8 PHEV PREMIUM,20
2026-02,RY1,GEELY,EX2,212
2026-02,RY1,GEELY,EX5,274
2026-02,RY1,GWM,GWM TANK 300,842
2026-02,RY1,GWM,GWM TANK 500,112
2026-02,RY1,GWM TANK,300 HYBRID,34
2026-02,RY1,GWM TANK,500 HYBRID,7
2026-02,RY1,HAVAL,H6 HEV PRO,2
2026-02,RY1,HAVAL,H6 HEV ULTRA,6
2026-02,RY1,HAVAL,H6 HYBRID,26
2026-02,RY1,HAVAL,H6 PLUG-IN HYBRID,83
2026-02,RY1,HAVAL,JOLION HYBRID,35
2026-02,RY1,HONDA,ACCORD,140
2026-02,RY1,HONDA,BR-V,1
2026-02,RY1,HONDA,CITY,1037
2026-02,RY1,HONDA,CITY HATCHBACK,1787
2026-02,RY1,HONDA,CIVIC,1074
2026-02,RY1,HONDA,CIVIC TYPE R,7
2026-02,RY1,HONDA,CR-V,727
2026-02,RY1,HONDA,FIT RS,1
2026-02,RY1,HONDA,HR-V,2355
2026-02,RY1,HONDA,PRELUDE e:HEV,1
2026-02,RY1,HONDA,S660 MODULO X SPECIAL VER.Z,1
2026-02,RY1,HONDA,STEP WGN,2
2026-02,RY1,HONDA,STEP WGN e-HEV SPADA PREMIUM,11
2026-02,RY1,HONDA,WR-V,3
2026-02,RY1,HONDA,e:N1,28
2026-02,RY1,HYUNDAI,CRETA,20
2026-02,RY1,HYUNDAI,IONIQ5,2
2026-02,RY1,HYUNDAI,PALISADE,23
2026-02,RY1,HYUNDAI,SANTA FE,46
2026-02,RY1,HYUNDAI,STARGAZER,11
2026-02,RY1,ISUZU,D-MAX,2861
2026-02,RY1,ISUZU,MU-X,1214
2026-02,RY1,ISUZU,ไม่ระบุ,1
2026-02,RY1,JAECOO,5 EV Long Range Max,704
