period,registration_type,brand,model,units
2021-06,RY1,ASTON MARTIN,VANTAGE COUPE,2
2021-06,RY1,AUDI,A1 SB 35 TFSI S line,1
2021-06,RY1,AUDI,A4 40 TFSI S line,1
2021-06,RY1,AUDI,A4 AV 45 TFSI q S line BE,4
2021-06,RY1,AUDI,A5 CP 40 TFSI S line,17
2021-06,RY1,AUDI,A5 CP 45 TFSI q S line BE,6
2021-06,RY1,AUDI,A5 SB 40 TFSI S line,13
2021-06,RY1,AUDI,A5 SB 45 TFSI q S line BE,2
2021-06,RY1,AUDI,A6 40 TFSI S line,2
2021-06,RY1,AUDI,A6 AV 45 TFSI q S line BE,2
2021-06,RY1,AUDI,A6 AV 55 TFSI q S line,1
2021-06,RY1,AUDI,A7 SB 45 TFSI q,3
2021-06,RY1,AUDI,A7 SB 55 TFSI q S line,2
2021-06,RY1,AUDI,A8,1
2021-06,RY1,AUDI,Q2 35 TFSI,1
2021-06,RY1,AUDI,Q3 35 TFSI,2
2021-06,RY1,AUDI,Q3 35 TFSI S line,2
2021-06,RY1,AUDI,Q3 40 TFSI q S line BE,2
2021-06,RY1,AUDI,Q3 SB 35 TFSI S line,4
2021-06,RY1,AUDI,Q3 SB 40 TFSI q S line BE,4
2021-06,RY1,AUDI,Q5 45 TFSI q S line,1
2021-06,RY1,AUDI,Q7 45 TDI q,1
2021-06,RY1,AUDI,Q8 50 TDI QUATTRO,1
2021-06,RY1,AUDI,Q8 55 TFSI q S line,2
2021-06,RY1,AUDI,R8 COUPE V10 PERFORMANCE,1
2021-06,RY1,AUDI,RS 4 AV q,3
2021-06,RY1,AUDI,RS Q8 q,1
2021-06,RY1,AUDI,RS6 AVANT,1
2021-06,RY1,AUDI,RS6 AVANT NOGARO LIMITED,1
2021-06,RY1,AUDI,TT Coupe 45 TFSI q S line,13
2021-06,RY1,AUDI,TT RD 45 TFSI q S line,1
2021-06,RY1,AUDI,TT RS Coupe q,2
2021-06,RY1,AUDI,e-tron 55 q,2
2021-06,RY1,AUDI,e-tron SB 55 q S line,2
2021-06,RY1,BENTLEY,BENTAYGA HYBRID,2
2021-06,RY1,BENTLEY,CONTINENTAL GT V8,4
2021-06,RY1,BENTLEY,FLYING SPUR,1
2021-06,RY1,BMW,218i Gran Coupe RHD,1
2021-06,RY1,BMW,220i Gran Coupe M Sport,60
2021-06,RY1,BMW,320d,1
2021-06,RY1,BMW,320d GT Luxury,6
2021-06,RY1,BMW,320d GT M Sport,1
2021-06,RY1,BMW,320d GT Sport,5
2021-06,RY1,BMW,320d Limousine RHD,3
2021-06,RY1,BMW,320d M Sport,143
2021-06,RY1,BMW,320d Sport,1
2021-06,RY1,BMW,330Li Limousine RHD,9
2021-06,RY1,BMW,330e M Sport,89
2021-06,RY1,BMW,330e Sport,2
2021-06,RY1,BMW,330i Limousine RHD,2
2021-06,RY1,BMW,430i Coupe RHD,5
2021-06,RY1,BMW,520d M Sport,98
2021-06,RY1,BMW,520d Sport,5
2021-06,RY1,BMW,530e Elite,36
2021-06,RY1,BMW,530e Highline,2
2021-06,RY1,BMW,530e M Sport,62
2021-06,RY1,BMW,630d Gran Turismo RHD,2
2021-06,RY1,BMW,630i Gran Turismo RHD,14
2021-06,RY1,BMW,730Ld M Sport,13
2021-06,RY1,BMW,730Ld Pure Excellence,1
2021-06,RY1,BMW,740Le xDrive M Sport,1
2021-06,RY1,BMW,740Le xDrive Pure Excellence,1
2021-06,RY1,BMW,740Li Limousine RHD,1
2021-06,RY1,BMW,745Le xDrive M Sport,8
2021-06,RY1,BMW,I8 RHD,1
2021-06,RY1,BMW,M340i xDrive,11
2021-06,RY1,BMW,M4 COMPETITION COUPE,4
2021-06,RY1,BMW,M4 Cabrio RHD,1
2021-06,RY1,BMW,M850i xDrive Coupe RHD,2
2021-06,RY1,BMW,X1 SDRIVE20D XLINE,77
2021-06,RY1,BMW,X1 sDrive18d xLine,24
2021-06,RY1,BMW,X1 sDrive18i,11
2021-06,RY1,BMW,X1 sDrive20d M Sport,75
2021-06,RY1,BMW,X2 sDrive20i RHD,6
2021-06,RY1,BMW,X3 xDrive20d M Sport,36
2021-06,RY1,BMW,X3 xDrive20d xLine,2
2021-06,RY1,BMW,X3 xDrive30e M Sport,18
2021-06,RY1,BMW,X3 xDrive30e xLine,17
2021-06,RY1,BMW,X4 xDrive20d RHD,34
2021-06,RY1,BMW,X5 sDrive25d Pure Experie,1
2021-06,RY1,BMW,X5 xDrive30d M Sport,11
2021-06,RY1,BMW,X5 xDrive30d xLine,6
2021-06,RY1,BMW,X5 xDrive40e M Sport,1
2021-06,RY1,BMW,X5 xDrive45e M Sport,19
2021-06,RY1,BMW,X6 xDrive30d RHD,3
2021-06,RY1,BMW,X7 M50d RHD,2
2021-06,RY1,BMW,X7 xDrive30d M Sport,11
2021-06,RY1,BMW,Z4 M40i Roadster RHD,3
2021-06,RY1,BMW,Z4 sDrive30i RHD,7
2021-06,RY1,BMW,i8 Roadster RHD,1
2021-06,RY1,BYD,T3,2
2021-06,RY1,BYD,ไม่ระบุ,1
2021-06,RY1,CHEVROLET,CAPTIVA,9
2021-06,RY1,CHEVROLET,COLORADO C-CAB,5
2021-06,RY1,CHEVROLET,COLORADO C-CAB MIDNIGHT,1
2021-06,RY1,CHEVROLET,CRUZE,1
2021-06,RY1,CHEVROLET,TRAILBLAZER,4
2021-06,RY1,FERRARI,488 PISTA,1
2021-06,RY1,FERRARI,812 GTS,1
2021-06,RY1,FERRARI,812 SUPERFAST,1
2021-06,RY1,FIAT,BENIMAR MILEO 243,1
2021-06,RY1,FIAT,DUCATO,1
2021-06,RY1,FOMM,FOMM ONE,7
2021-06,RY1,FORD,EVEREST,467
2021-06,RY1,FORD,FORD EVEREST zFAE9GD,1
2021-06,RY1,FORD,FORD EVEREST zJAE9BC,3
2021-06,RY1,FORD,FORD RANGER,1
2021-06,RY1,FORD,FORD RANGER iJBW9B4,1
2021-06,RY1,FORD,Focus,1
2021-06,RY1,FORD,Ford Everest,1
2021-06,RY1,FORD,MUSTANG,10
2021-06,RY1,FORD,MUSTANG 2.3 ECOBOOST,1
2021-06,RY1,FORD,MUSTANG 2.3L ECOBOOST,5
2021-06,RY1,FORD,MUSTANG ECOBOOST PREMIUM,3
2021-06,RY1,FORD,RANGER,1361
2021-06,RY1,FORD,RANGER RAPTOR,137
2021-06,RY1,FOTON,TUNLAND DC 4X2 S,2
2021-06,RY1,FOTON,TUNLAND DC 4X2 S PREMIUM,6
2021-06,RY1,FOTON,TUNLAND DC 4X4,1
2021-06,RY1,HONDA,ACCORD,183
2021-06,RY1,HONDA,ACCORD HYBRID,160
2021-06,RY1,HONDA,ACCORD'13,1
2021-06,RY1,HONDA,BR-V,142
2021-06,RY1,HONDA,BRIO AMAZE,1
2021-06,RY1,HONDA,CITY,1998
2021-06,RY1,HONDA,CITY HATCHBACK,1674
2021-06,RY1,HONDA,CIVIC,1266
2021-06,RY1,HONDA,CR-V,425
2021-06,RY1,HONDA,HR-V,489
2021-06,RY1,HONDA,JAZZ,910
2021-06,RY1,HONDA,MOBILIO,15
2021-06,RY1,HONDA,MOBILIO'15,1
2021-06,RY1,HONDA,N BOX CUSTOM G EX TURBO,1
2021-06,RY1,HONDA,N-BOX CUSTOM G-L TURBO,1
2021-06,RY1,HONDA,ODYSSEY ABSOLUTE EX,1
2021-06,RY1,HONDA,S660 CVT TURBO,1
2021-06,RY1,HONDA,STEP WGN E HEV SPADA G EX,1
2021-06,RY1,HONDA,STEP WGN e-HEV SPADA G EX,1
2021-06,RY1,HONDA,STEPWAGON SPADA HYBRID EHEV G,1
2021-06,RY1,HONDA,STEPWGN SPADA HYBRID G-EX,1
2021-06,RY1,HYUNDAI,GRAND STAREX,12
2021-06,RY1,ISUZU,D-MAX,5790
2021-06,RY1,ISUZU,mu-X,1479
2021-06,RY1,JAGUAR,F-TYPE 2.0 LITRE T/C PETROL,1
2021-06,RY1,JAGUAR,I-PACE AWD HSE,1
2021-06,RY1,JAGUAR,I-PACE AWD S,1
2021-06,RY1,JEEP,GLADIATOR RUBICON,3
2021-06,RY1,JEEP,WRANGLER 2.2D 4DR OVERLAND,1
2021-06,RY1,JEEP,WRANGLER RUBICON,1
2021-06,RY1,LAMBORGHINI,AVENTADOR SVJ ROADSTER,1
2021-06,RY1,LAMBORGHINI,HURACAN EVO,1
2021-06,RY1,LAMBORGHINI,HURACAN EVO RWD,1
2021-06,RY1,LAMBORGHINI,URUS,2
2021-06,RY1,LAND ROVER,DEFENDER 2.0L T/C AWD AUTO SE,1
2021-06,RY1,LAND ROVER,DEFENDER110TDCI XS DOUBLE CAB,1
2021-06,RY1,LAND ROVER,DISCOVERY SPORT 2.2L SD4,1
2021-06,RY1,LAND ROVER,RANGE ROVER 2.0L T/C PHEV,2
2021-06,RY1,LAND ROVER,RANGEROVER EVOQUE1.5LITRE T/C,5
2021-06,RY1,LAND ROVER,RANGEROVER2.0L T/C PETROL,3
2021-06,RY1,LEXUS,ES300h,5
2021-06,RY1,LEXUS,IS300h,4
2021-06,RY1,LEXUS,LM300h,23
2021-06,RY1,LEXUS,LX570S 8 SEATS,1
2021-06,RY1,LEXUS,NX300h,9
2021-06,RY1,LEXUS,RX300,3
2021-06,RY1,LEXUS,RX450h,9
2021-06,RY1,LEXUS,UX250h,4
2021-06,RY1,LEXUS,UX300E,1
2021-06,RY1,LEXUS,ไม่ระบุ,1
2021-06,RY1,MASERATI,LEVANTE GRANLUSSO,1
2021-06,RY1,MASERATI,QUATTROPORTE S,1
2021-06,RY1,MAZDA,MAZDA 2,1576
2021-06,RY1,MAZDA,MAZDA 3,223
2021-06,RY1,MAZDA,MAZDA CX-3,368
2021-06,RY1,MAZDA,MAZDA CX-30,605
2021-06,RY1,MAZDA,MAZDA CX-8,129
2021-06,RY1,MAZDA,MAZDA MX-5,1
2021-06,RY1,MAZDA,Mazda BT-50,49
2021-06,RY1,MAZDA,Mazda CX-5,69
2021-06,RY1,MCLAREN,720S SPIDER,1
2021-06,RY1,MERCEDES BENZ,A 200,72
2021-06,RY1,MERCEDES BENZ,AMG A 45 S 4MATIC+,1
2021-06,RY1,MERCEDES BENZ,AMG C 43 4MATIC,1
2021-06,RY1,MERCEDES BENZ,AMG C43 4MATIC Coupe,10
2021-06,RY1,MERCEDES BENZ,AMG CLA 35 4MATIC Coupe,3
2021-06,RY1,MERCEDES BENZ,AMG CLS 53 4MATIC,25
2021-06,RY1,MERCEDES BENZ,AMG E 53 4MATIC+,3
2021-06,RY1,MERCEDES BENZ,AMG E 53 4MATIC+ Coupe,1
2021-06,RY1,MERCEDES BENZ,AMG GLA 35 4MATIC,10
2021-06,RY1,MERCEDES BENZ,AMG GLC 43 4MATIC Coupe,18
2021-06,RY1,MERCEDES BENZ,AMG GT 53 4MATIC+,1
2021-06,RY1,MERCEDES BENZ,C 200 Coupe,31
2021-06,RY1,MERCEDES BENZ,C 220 d,68
2021-06,RY1,MERCEDES BENZ,C 250 COUPE,1
2021-06,RY1,MERCEDES BENZ,C 300 e,69
2021-06,RY1,MERCEDES BENZ,C 350 e,1
2021-06,RY1,MERCEDES BENZ,C250 COUPE,1
2021-06,RY1,MERCEDES BENZ,C350 e,2
2021-06,RY1,MERCEDES BENZ,CLA200,1
2021-06,RY1,MERCEDES BENZ,CLA250,1
