เดือน,ประเภท,ยี่ห้อ,แบบรถ,จำนวน,ประเภทรถ (ต้นทาง)
2023-12,RY3,MAZDA,MAZDA BT-50,54,รถยนต์บรรทุกส่วนบุคคล
2023-12,RY3,MG,MG EXTENDER,33,รถยนต์บรรทุกส่วนบุคคล
2023-12,RY3,MITSUBISHI,TRITON,580,รถยนต์บรรทุกส่วนบุคคล
2023-12,RY3,NISSAN,NAVARA,135,รถยนต์บรรทุกส่วนบุคคล
2023-12,RY3,SOKON,CRC5020CLS,1,รถยนต์บรรทุกส่วนบุคคล
2023-12,RY3,SUZUKI,AQ416PUM14058,1,รถยนต์บรรทุกส่วนบุคคล
2023-12,RY3,SUZUKI,CARRY 1.5L MT,183,รถยนต์บรรทุกส่วนบุคคล
2023-12,RY3,SUZUKI,SUPER CARRY X PICK UP,1,รถยนต์บรรทุกส่วนบุคคล
2023-12,RY3,TAKANO,TTE-500,2,รถยนต์บรรทุกส่วนบุคคล
2023-12,RY3,TATA,XENON,1,รถยนต์บรรทุกส่วนบุคคล
2023-12,RY3,TOYOTA,COMMUTER,1,รถยนต์บรรทุกส่วนบุคคล
2023-12,RY3,TOYOTA,HIACE,5,รถยนต์บรรทุกส่วนบุคคล
2023-12,RY3,TOYOTA,HILUX REVO,4606,รถยนต์บรรทุกส่วนบุคคล
2023-12,RY3,TOYOTA,None,1,รถยนต์บรรทุกส่วนบุคคล
